jul/04;;R$ 2.508.72;;4.53%;
ago/04;;R$ 2.508.72;;4.53%;
set/04;;R$ 2.508.72;;4.53%;
out/04;;R$ 2.508.72;;4.53%;
nov/04;;R$ 2.508.72;;4.53%;
dez/04;;R$ 2.508.72;;4.53%;
jan/05;;R$ 2.508.72;;4.53%;
fev/05;;R$ 2.508.72;;4.53%;
mar/05;;R$ 2.508.72;;4.53%;
abr/05;;R$ 2.508.72;;4.53%;
mai/05;maio de 2005;R$ 2.668.15;;6.36%;
jun/05;;R$ 2.668.15;;6.36%;
jul/05;;R$ 2.668.15;;6.36%;
ago/05;;R$ 2.668.15;;6.36%;
set/05;;R$ 2.668.15;;6.36%;
out/05;;R$ 2.668.15;;6.36%;
nov/05;;R$ 2.668.15;;6.36%;
dez/05;;R$ 2.668.15;;6.36%;
jan/06;;R$ 2.668.15;;6.36%;
fev/06;;R$ 2.668.15;;6.36%;
mar/06;;R$ 2.668.15;;6.36%;
abr/06;abril de 2006;R$ 2.801.56;;0,05;
mai/06;;R$ 2.801.56;;0,05;
jun/06;;R$ 2.801.56;;0,05;
jul/06;;R$ 2.801.56;;0,05;
ago/06;;R$ 2.801.56;;0,05;
set/06;;R$ 2.801.56;;0,05;
out/06;;R$ 2.801.56;;0,05;
nov/06;;R$ 2.801.56;;0,05;
dez/06;;R$ 2.801.56;;0,05;
jan/07;;R$ 2.801.56;;0,05;
fev/07;;R$ 2.801.56;;0,05;
mar/07;;R$ 2.801.56;;0,05;
abr/07;abril de 2007;R$ 2.894.28;;3.31%;
mai/07;;R$ 2.894.28;;3.31%;
jun/07;;R$ 2.894.28;;3.31%;
jul/07;;R$ 2.894.28;;3.31%;
ago/07;;R$ 2.894.28;;3.31%;
set/07;;R$ 2.894.28;;3.31%;
out/07;;R$ 2.894.28;;3.31%;
nov/07;;R$ 2.894.28;;3.31%;
dez/07;;R$ 2.894.28;;3.31%;
jan/08;;R$ 2.894.28;;3.31%;
fev/08;;R$ 2.894.28;;3.31%;
mar/08;março de 2008;R$ 3.038.99;;0,05;
abr/08;;R$ 3.038.99;;0,05;
mai/08;;R$ 3.038.99;;0,05;
jun/08;;R$ 3.038.99;;0,05;
jul/08;;R$ 3.038.99;;0,05;
ago/08;;R$ 3.038.99;;0,05;
set/08;;R$ 3.038.99;;0,05;
out/08;;R$ 3.038.99;;0,05;
nov/08;;R$ 3.038.99;;0,05;
dez/08;;R$ 3.038.99;;0,05;
jan/09;;R$ 3.038.99;;0,05;
fev/09;fevereiro de 2009;R$ 3.218.90;;5.92%;
mar/09;;R$ 3.218.90;;5.92%;
abr/09;;R$ 3.218.90;;5.92%;
mai/09;;R$ 3.218.90;;5.92%;
jun/09;;R$ 3.218.90;;5.92%;
jul/09;;R$ 3.218.90;;5.92%;
ago/09;;R$ 3.218.90;;5.92%;
set/09;;R$ 3.218.90;;5.92%;
out/09;;R$ 3.218.90;;5.92%;
nov/09;;R$ 3.218.90;;5.92%;
dez/09;;R$ 3.218.90;;5.92%;
jan/10;janeiro de 2010;R$ 3.467.40;;7.72%;
fev/10;;R$ 3.467.40;;7.72%;
mar/10;;R$ 3.467.40;;7.72%;
abr/10;;R$ 3.467.40;;7.72%;
mai/10;;R$ 3.467.40;;7.72%;
jun/10;;R$ 3.467.40;;7.72%;
jul/10;;R$ 3.467.40;;7.72%;
ago/10;;R$ 3.467.40;;7.72%;
set/10;;R$ 3.467.40;;7.72%;
out/10;;R$ 3.467.40;;7.72%;
nov/10;;R$ 3.467.40;;7.72%;
dez/10;;R$ 3.467.40;;7.72%;
jan/11;janeiro de 2011;R$ 3.691.74;;6.47%;
fev/11;;R$ 3.691.74;;6.47%;
mar/11;;R$ 3.691.74;;6.47%;
abr/11;;R$ 3.691.74;;6.47%;
mai/11;;R$ 3.691.74;;6.47%;
jun/11;;R$ 3.691.74;;6.47%;
jul/11;;R$ 3.691.74;;6.47%;
ago/11;;R$ 3.691.74;;6.47%;
set/11;;R$ 3.691.74;;6.47%;
out/11;;R$ 3.691.74;;6.47%;
nov/11;;R$ 3.691.74;;6.47%;
dez/11;;R$ 3.691.74;;6.47%;
jan/12;janeiro de 2012;R$ 3.916.20;;6.08%;
fev/12;;R$ 3.916.20;;6.08%;
mar/12;;R$ 3.916.20;;6.08%;
abr/12;;R$ 3.916.20;;6.08%;
mai/12;;R$ 3.916.20;;6.08%;
jun/12;;R$ 3.916.20;;6.08%;
jul/12;;R$ 3.916.20;;6.08%;
ago/12;;R$ 3.916.20;;6.08%;
set/12;;R$ 3.916.20;;6.08%;
out/12;;R$ 3.916.20;;6.08%;
nov/12;;R$ 3.916.20;;6.08%;
dez/12;;R$ 3.916.20;;6.08%;
jan/13;janeiro de 2013;R$ 4.159.00;;6.2%;
fev/13;;R$ 4.159.00;;6.2%;
mar/13;;R$ 4.159.00;;6.2%;
abr/13;;R$ 4.159.00;;6.2%;
mai/13;;R$ 4.159.00;;6.2%;
jun/13;;R$ 4.159.00;;6.2%;
jul/13;;R$ 4.159.00;;6.2%;
ago/13;;R$ 4.159.00;;6.2%;
set/13;;R$ 4.159.00;;6.2%;
out/13;;R$ 4.159.00;;6.2%;
nov/13;;R$ 4.159.00;;6.2%;
dez/13;;R$ 4.159.00;;6.2%;
jan/14;janeiro de 2014;R$ 4.390.24;;5.56%;
fev/14;;R$ 4.390.24;;5.56%;
mar/14;;R$ 4.390.24;;5.56%;
abr/14;;R$ 4.390.24;;5.56%;
mai/14;;R$ 4.390.24;;5.56%;
jun/14;;R$ 4.390.24;;5.56%;
jul/14;;R$ 4.390.24;;5.56%;
ago/14;;R$ 4.390.24;;5.56%;
set/14;;R$ 4.390.24;;5.56%;
out/14;;R$ 4.390.24;;5.56%;
nov/14;;R$ 4.390.24;;5.56%;
dez/14;;R$ 4.390.24;;5.56%;
jan/15;janeiro de 2015;R$ 4.663.75;;6.23%;
fev/15;;R$ 4.663.75;;6.23%;
mar/15;;R$ 4.663.75;;6.23%;
abr/15;;R$ 4.663.75;;6.23%;
mai/15;;R$ 4.663.75;;6.23%;
jun/15;;R$ 4.663.75;;6.23%;
jul/15;;R$ 4.663.75;;6.23%;
ago/15;;R$ 4.663.75;;6.23%;
set/15;;R$ 4.663.75;;6.23%;
out/15;;R$ 4.663.75;;6.23%;
nov/15;;R$ 4.663.75;;6.23%;
dez/15;;R$ 4.663.75;;6.23%;
jan/16;janeiro de 2016;R$ 5.189.82;;11.28%;
fev/16;;R$ 5.189.82;;11.28%;
mar/16;;R$ 5.189.82;;11.28%;
abr/16;;R$ 5.189.82;;11.28%;
mai/16;;R$ 5.189.82;;11.28%;
jun/16;;R$ 5.189.82;;11.28%;
